	Question
8258	why does it seem that when it is snowing outside, it seems quieter?
8259	psychologists and/or psychiatrists, what is the difference between dissociative identity disorder and alter ego?
8260	why do most mammals find being stroked/patted pleasurable?
8261	why do (many) humans and so many animals enjoy being pet/stroked?
8262	is it possible to learn to move your toes individually much like we do with fingers?
8263	is viewing a computer screen for most of the day harmful to vision?
8264	can you lose your ability to speak if you don't talk for an extended period of time?
8265	why is the water in my straw higher than the water in my cup?
8266	can light orbit a black hole?
8267	does the long term use of antidepressants cause any change in brain chemistry or organization?
8268	how would the cosmos/physics change if space suddenly stopped expanding?
8269	are there any traits passed on through the y chromosome that are not related to sex determination?
8270	why does water evaporate even when it is at room temperature?
8271	is obesity a genetic problem that can run in families, or is it more likely that children pick up the poor eating habits of parents?
8272	at what point in human evolution did we develop a dominant hand? is this a trait found in other primates as well?
8273	why did tyrannosaurus rex have such stubby arms?
8274	why is it that chernobyl is uninhabitable for many years while hiroshima and nagasaki are thriving cities?
8275	why does outer space look black?
8276	if it only takes the earth 23 hours and 56 minutes to rotate on its axis, why doesn't the sun eventually set "in the middle of the day"?
8277	how are we able to see planets and stars close up through telescopes when the earth is spinning at 1000 mph?
8278	do dogs of one breed prefer to be with their own breed over others or are they all just dogs to them?
8279	nuclear weapons are rated in megatons (of tnt). what would be the differences in detonating a 1 mt nuclear weapon compared to touching off a million ton pile of tnt?
8280	how many ants would you need to lift a human?
8281	how does my brain know how old a memory is?
8282	if all eight planets had been formed as one massive object, what kind of planet would it have looked like?
8283	how close would you have to get to the sun for the vacuum of space to be at room temperature?
8284	my parents told me phones and tech emit dangerous radiation, is it true?
8285	if the near side of the moon always faces earth, how could there be asteroid-impact craters on that side?
8286	why is it that radio waves (low energy end of the electromagnetic spectrum) can penetrate opaque solids, and gamma rays (high energy end of the spectrum) can also penetrate opaque solids, yet the visible spectrum can't?
8287	does lightning striking water (lakes/ocean/etc) kill/harm fish?
8288	why do we sometimes have blurry vision when we wake up?
8289	when/how did human started cooking?
8290	if a large city (say los angeles) were to turn off all of its lights at once, would stars become immediately visible?
8291	does playing chess enhance cognitive abilities?
8292	when something smells, is it losing mass? if so, does something that has a stronger smell than another thing losing mass quicker?
8293	how much radiation dose would you receive if you touched chernobyl's elephant's foot?
8294	can photons move slower than the speed of light when near a black hole?
8295	is listerine's burning sensation indicative of actual cleaning, or is it just there to make you think "wow this must really be working", when in fact the burning has no functional use?
8296	i am sorry if this is a stupid question but what would happen if a huge asteroid hit the moon?
8297	so let me get this straight.... according to a photon or graviton, the size of the universe is zero and zero time has passed since the big bang?
8298	why are people able to live in hiroshima and nagasaki, while chernobyl remains uninhabitable?
8299	why dont more people in the us get illnesses from mosquitoes even though the same mosquito may extract blood from several hosts?
8300	how can same volume engines have different hp/torque/etc.?
8301	is our star particularly separated from other stars, or is it at a normal distance away from others?
8302	what do ants do when they are separated from the colony?
8303	how was weather different when landmasses were clumped into super continents like pangaea?
8304	why is my scrotum the tannest part of my body, even though it never sees the sun?
8305	just how much better are electronic toothbrushes at cleaning than regular toothbrushes?
8306	why is an electron microscope more detailed than than a (light) microscope?
8307	how come metal sparks in the microwave yet the insides of microwaves are made out of metal?
8308	if the sun converts hydrogen to helium where does it get the neutrons to do so?
8309	why does showering with hot water feels so good, even though being outside in hot temperatures is uncomfortable?
8310	what process occurs for a light bulb to be “burnt out”?
8311	how much 'new' oil is the earth making in, say, a day?
8312	why don't researchers introduce cancer to colonies of bacteria repeatedly until they evolve a way to defeat it? then copy their solution?
8313	how do spiders decide where to erect their web?
8314	do gas giants like jupiter and saturn have a "surface" somewhere down there?
8315	is it true that marijuana can cause (activate?) schizophrenia in people predisposed to it?
8316	considering that there are hundreds of billions of galaxies in the known universe, approximately how many times per day does a star somewhere in the universe go supernova? more than once per second?
8317	if a set of identical twin boys marry a set of identical twin girls, will their children look alike?
8318	does fluoride have detrimental effects neurologically?
8319	how can scientists approximate that the universe is 14 billion years old, when it is theoretically infinitely large?
8320	say two galaxies are combining, what would happen if two stars collided?
8321	how do chemicals like capsaicin and menthol trick the tongue into feeling hot or cold?
8322	what's the limiting factor for electron microscopes' resolution?
8323	if energy cannot be created or destroyed, how come the universe is expanding at an accelerating rate? where does the energy for this expansion come from?
8324	how does force=(mass*acceleration) work? if a moving object with a constant speed (not accelerating) hits something, does it still have a force?
8325	"invisible" (in visible light) stars?
8326	is it better for your eyes to be looking at a bright monitor or a dim monitor?
8327	we all know that absolute zero is the lowest temperature achievable in our universe but is there a maximum? i don't mean maximum by "there is x finite energy and matter and if we converted it all into heat that is the maximum" but is there a point where we cant excite atoms any more?
8328	why doesn't intel increase the size of the processor to make it faster? we're trying techniques to make transistors smaller, but would a 1 square meter processor outperform what we have now at the same transistor size?
8329	does a brain physically change when it gets memories? does a dead brain still possess the memories it had when it was alive?
8330	if digital photography didn't come around until the 1990s, how did/do satellites capture images before transmitting them back to earth as data?
8331	what would happen when you microwave something with the window open?
8332	are there animals which are allergic to humans?
8333	do large asteroids have a max velocity? or could one be traveling towards earth at relativistic speeds?
8334	why are there no saltwater amphibians?
8335	can light orbit an object?
8336	if beams of light from the sun are virtually parallel, why aren't sun rays in the sky?
8337	how does screaming/growling/yelling damage your vocal chords?
8338	if heat kills bacteria, why can't you simply reheat all food, no matter how old?
8339	why do our teeth not heal or regenerate when cracked or broken?
8340	why can't we use the "infinite primes proof" to continuously find new primes?
8341	is it possible to have life forms which have the 8 characteristics of life which are not made of carbons or hydrocarbons?
8342	is intelligence hereditary?
8343	i have a question about the moon. when did all those craters happen, and why isn't it happening now?
8344	how come there aren't many green mammals, when a lot of the earth is green?
8345	is there any difference between "natural sugars" and others?
8346	when insects die of old age, what actually kills them?
8347	what do old insects die of?
8348	when groups of animals that use echolocation do so, how are they able to differentiate which sound was theirs? can a dolphin that’s in the middle of a group pick up on the sound of another dolphin that’s on the outer edge of said group and know exactly what the other dolphin is seeing?
8349	could antimater stars exist?
8350	why is it that after a night of drinking, i tend to wake up after only a few hours of sleep?
8351	i feel like my night vision was better as a child, is this possible?
8352	how long would it take a modern computer with code breaking softwear to crack the german enigma code from ww2?
8353	as we age, do our organs lose transplant value? if they do, are there any with more longevity? like, a 70 year old heart might not be desirable, but maybe kidneys or something else retain some value despite age?
8354	why does sticking your fingers back your throat trigger your gag reflex, but swallowing food doesn't?
8355	has the nuclear age prevented future carbon dating?
8356	in space, are all stars (blue, red, yellow) visibly white?
8357	why are the charges of protons and electrons perfectly opposite to each other?
8358	how does coding physically work? how does a computer, made up of inanimate parts, understand what to do based on a made up language?
8359	do certain languages have higher percentage of people who stutter?
8360	what actually is the dial up internet noise?
8361	why do some poisons tell you not to induce vomiting?
8362	if the earth did not spin, how much more would we weigh?
8363	if you can use an antenna to produce electromagnetic waves and visible light is electromagnetic radiation, why you can't tune an antenna to produce waves in that length and make light this way?
8364	why specifically are vaccines not linked with autism?
8365	why does water damage electronics?
8366	why do most of the planets revolve around the same plane?
8367	why do the bubbles in a pint of beer only seem to rise from the brand logo at the bottom of the glass?
8368	why do our eyes get bloodshot when we're tired?
8369	how close could a meteor pass to the surface of earth with no collision?
8370	why are males bigger than females (humans+primates)?
8371	rubbing alcohol or hydrogen peroxide?
8372	does an octopus have a dominant tentacle?
8373	can radio waves be considered light?
8374	do animals recognize other species babies? for example, a dog seems to know a human baby from an adult. is this common with other animals?
8375	what did the surface of the earth look like before pangea?
8376	is there any advantage to not creating melanin? why don't our bodies stay tan?
8377	if the light from a galaxy 250 million light years away takes 250 million years to get to earth, does that mean if one exploded today we would only discover it in 250 million years?
8378	if jupiter took mars' position in orbit, how big would it appear in our sky, and what affect would it have on the earth?
8379	i don't have a dishwasher. if i just rinse my plates and silverware without using soap, what negative consequences am i exposing myself to?
8380	do dimmer bulbs use less electricity when dimmed?
8381	can ants see bacteria?
8382	given recent developments in our understanding of water/ice bodies on mars, is it possible that we could one day be surprised by martian fossils? or do we have reason to believe that martian life would be limited to microorganisms?
8383	my water bottle is a stainless steel, double walled, vacuum insulated vessel. it claims to keep liquids cold for up to 24 hours but only hot for 12 hours. why are these not the same or at least close to one another?
8384	do mosquitoes 'suck' blood, or or does the blood ooze out of our body due to the blood pressure, into their body? in other words, can a mosquito 'drink' blood out of a cup?
8385	how did fish get into lakes?
8386	if i "butt chug" alcohol will i still fail a breathalyzer like i would if i drank the alcohol orally?
8387	approximately how much external matter (astroids, etc.) gets consumed by the sun each year?
8388	are oceans necessary for a terrestrial planet to have sustained tectonic plate activity? would a planet that was entirely covered by a single massive ocean have tectonic plate activity?
8389	if the universe is an hypertorus, is it possible that we receive the light from a star twice ?
8390	what causes lcds to "ripple" when touched?
8391	does leaving a refrigerator door opened for about 20 seconds actually use up a large enough amount of energy/ power to consider not leaving it open for that long?
8392	what exactly is a quantum computer? what is an example of a problem a quantum computer can solve that a normal computer can't or will solve much slower?
8393	disregarding big leaks, what is the main mechanisms for tires to lose pressure over time? is it the valve? or does air permeate through the rubber?
8394	do all of the planets orbit on the same level, and if so why does it appear that we're "looking up" at saturn through earthbound telescopes?
8395	are photons taking longer to travel due to expansion of universe?
8396	why are german boars still radioactive from chernobyl disaster?
8397	when a lake freezes, why don't the fish that inhabit the lake die because of lower temperatures?
8398	how do they name hurricanes?
8399	can mosquitoes die if they bite someone with a high blood-alcohol level?
8400	why does a wooden spoon on top of a boiling pot of water prevent the water from boiling over?
8401	for an extinction event-sized meteorite (e.g. the one that caused the chicxulub crater, ~10km), how long would the object be visible in the sky before impact?
8402	should the presence of a heart stent affect the way cpr is performed?
8403	what prevents carbon from forming four bonds with another carbon atom?
8404	if every plant on earth vanished suddenly overnight, how long would we be able to breathe before all of the oxygen were used up?
8405	why is the center of the milky way bright if it is a black hole?
8406	since the sun is converting mass to energy, its gravitonal pull should be reducing. what kind of effect does this have on our orbit?
8407	why are humans so bad at childbirth?
8408	what's the highest possible iq?
8409	if i'm near-sighted, why can't i hold a mirror in front of my face to look at something in the distance behind me and see it clearly?
8410	why are snowflakes flat?
8411	diet soda vs. regular soda. which is really worse?
8412	why are the mirrors on the newer telescopes shaped like hexagons?
8413	why do some poisonous chemical labels advise not to induce vomiting when swallowed?
8414	why do planets further from the sun receive less energy from its light? how does 'empty' space diminish this energy?
8415	why do cameras take rectangle-shaped photos when the lens are round?
8416	why are our lips darker than the rest of our skin?
8417	if a star is 30 light years away from earth, is the light entering my eyes right now actually 30 years old, and is the star actually in that actual physical location right now or was it there 30 years ago?
8418	if removing earwax with cue tips or fingers is bad, then how does old earwax normally come out?
8419	i've read that the observable universe has a 45 billion ly radius - how can that be if the universe is only 13.7 billion years old?
8420	is there an industrial or structural reason that any recyclable plastic bottle most always has a non-recyclable plastic cap?
8421	why does bismuth crystallize into such a weird square shape?
8422	how far from a mirror do you have to be to see yourself blink?
8423	when a seed is planted in the ground, how does it know which way to grow?
8424	what does a chameleon's field of vision look like when it's eyes are pointing in different directions?
8425	can we really see the milky way with the naked eye?
8426	why doesn't jupiter, if it is constantly absorbing large asteroids, `fill up`with rock and and become a rock planet?
8427	what was there before the big bang?
8428	why do some hot peppers have a "slower burn" than others?
8429	why is there a "space" between an object and its reflection in a mirror?
8430	is it possible for a planet to be mostly composed of liquid?
8431	if the liver can regrow from a piece in 30 days, then why isn't liver scarring treated by removing a bit and letting it regrow?
8432	when people 'die in their sleep' are they actually asleep during the process, or would that process wake most people up?
8433	how many of the stars we see probably don't exist anymore?
8434	is sugar unhealthier when refined?
8435	when did life evolve sleep?
8436	why can online videos load multiple high definition images faster than some websites load single images?
8437	if an antibacterial spray successfully kills 99.9% of bacteria does that .1% quickly reproduce over the "cleaned" area?
8438	in light of the recent first marsquake recorded, what causes marsquakes? does mars have tectonic plates like earth?
8439	what is happening when we randomly lose slight hearing in one ear and hear a loud ringing sound in it for a few seconds before the ringing fades away?
8440	why does 50% haemoglobin saturation from carbon monoxide poisoning kill humans, but a 50% hb reduction from say, anaemia doesn't?
8441	why are most of the large impact craters on the moon located on the side facing the earth? wouldn't the other side be less shielded?
8442	if it's too hot for a long period of time in winter, is it possible that trees grow leaves early?
8443	how can 1 divided by ∞ equal to zero?
8444	why aren't we seeing organic photovoltaics solar cells everywhere? what's the catch?
8445	once a beer is at the same temperature as the inside of a fridge, does the fridge use more electricity than it would if the beer was removed?
8446	do cephalopods, e.g. squids, octopuses, have a dominant tentacle/arm similar to humans having dominant hands/feet?
8447	why does laser light look grainy?
8448	is mold in blue cheeses different in any way from the mold we usually despise that makes it desireable in food?
8449	are all viruses descended from a single common ancestor?
8450	why is there things like depression that make people constantly sad but no disorders that cause constant euphoria?
8451	if the universe were shrunk to something akin to the size of earth, what would the scale for stars, planets, etc. be?
8452	is it bad to use pure hydrogen peroxide as mouthwash?
8453	would the global spread of solar panels lower temperatures globally since heat is being converted to electricity instead of being reflected?
8454	if the universe is flat, isn't the edge actually quite close?
8455	is spontaneous human combustion real?
8456	why can't i remember a smell or taste the same way i can an image or a sound?
8457	why are tornados predominantly a north american phenomenon?
8458	what was earth like in the immediate aftermath of the asteroid impact that killed the non-avian dinosaurs? what was earth like in following years? how long did it take for the dinosaurs to die out?
8459	have humans always had acne?
8460	what about the atomic structure makes gold or copper their trademark colors but leaves most others a shade of gray?
8461	out of all the deserts that consist of sand, which has the deepest point of just sand before it reaches solid earth, and how deep is that?
8462	how does saturn's moon titan have oil? was there life?
8463	2 cars traveling in the same direction at 90km/h and 120km/h, if the faster one hits the slow from the back, is it the same crash as if a car traveling 30km/h hit a car that is not moving?
8464	how long will nasa be able to communicate with voyager i?
8465	regarding altered brain chemistry in depression: does the altered brain chemistry alone cause the depression or does depression itself alter the brain chemistry?
8466	why did schrodinger put a cat in his hypothetical box?
8467	is there a limit to how large a planet can become?
8468	what is tickling and why don't other animals do it?
8469	why does shampoo lather less in dirty hair than clean hair?
8470	at what distance from the sun is the temperature in outer space that of an average day on planet earth?
8471	why can mosquito transmitted viruses, such as zika, only be transmitted by a specific mosquito species?
8472	is there any possibilities of having non-spherical planets out there?
8473	is my car engine more efficient on hot or cold days?
8474	why is human head hair the only hair that doesn't have a terminal length?
8475	since pi is infinitely long and has no pattern, does that mean that, for example, all literature ever written by mankind can be found in binary somewhere in pi?
8476	is there more than one universe?
8477	why don't we launch a probe axially out of the solar system instead of always radially? wouldn't we reach interstellar space relatively quickly?
8478	when objects give off an aroma/odor, does the object lose mass?
8479	why can't two snow flakes be identical?
8480	how far can we possibly see using a telescope (in terms of time and space)?
8481	why are there many different types of fuel (87, 93, diesel) and why can certain machines take only one type?
8482	how do woodpeckers not get brain damage?
8483	do carbonated beverages such as soda help keep you hydrated? if so, how do they compare against water?
8484	why do scabs itch so much if it is detrimental to pick at them?
8485	will my cup of 100°c tea cool faster if i let it sit before or after i add the cold milk?
8486	when subjected to heat, why do some objects melt while other objects burn?
8487	what's the difference between antibiotic, antiseptic and anti-bacteria?
8488	we can't see beyond the observable universe because light from there hasn't reached us yet. but since light always moves, shouldn't that mean that "new" light is arriving at earth. this would mean that our observable universe is getting larger every day. is this the case?
8489	why are designs of the hubble telescope and james webb space telescope so different from each other?
8490	this may sound stupid, but i'm genuinely curious: why do mirrors make things appear flipped horizontally, but not vertically?
8491	was our sun formed from an old nebula or accretion disk?
8492	why do some sounds cause physical discomfort to our ears? is it because they are actually damaging them?
8493	(i hope this is relevant.) is it possible to dump waste into volcanoes?
8494	which known planet is the least spherical?
8495	is it possible to have a dream that would permanently traumatize you?
8496	how come a room doesn't get brighter the longer you shine a light in it?
8497	how do we know what dinosaurs look like?
8498	how does a hard drive compensate for the expansion of itself when in use?
8499	are there telescopes, available for purchase, powerful enough to see the flag on the moon?
8500	why is new horizons going to flyby around pluto and not orbit it?
8501	if the milky way is moving through space, is it orbiting something bigger?
8502	if the air was made up of different gases, would things sound different?
8503	i've been reading a lot about the dog's mind and how they don't anticipate, fear, or even comprehend death or eventual death... they think in the here and now with no concept of time. with that said, how do they remember me? or do they not and act on pure instinct/conditioning?
8504	if you scaled an ant up to the size of an elephant, would it still be able to carry an object five times its own body weight?
8505	is there any scientific merit to the claim that "good quality" alcoholic drinks do not give people headaches?
8506	if the temperature of a gas reaches absolute zero, what would happen to the volume, rather, what would the volume be?
8507	evolutionarily, why do unhealthy snacks taste so good when healthy grains and vegetables don't?
8508	why don't photons accelerate to the speed of light?
8509	is it possible to completly solve chess?
8510	how do blackouts work? was the memory never recorded, never saved or deleted while sleeping?
8511	if all iron in our solar system is fused in far off stars, does that mean that the iron in my body is potentially older than the sun?
8512	what processes caused the skin of some humans to become lighter (white) after their migration from africa?
8513	do heavily forested regions of the world like the eastern united states experience a noticeable difference in oxygen levels/air quality during the winter months when the trees lose all of their leaves?
8514	why is coffee turbid when cooled down but clear when freshly made?
8515	how do we know what dinosaurs' skin looked like?
8516	why is it that when i try to hold back tears, i experience the sensation of a lump in my throat and have difficulty swallowing?
8517	why does paper stay folded once you fold or wrinkle it? and since placing heavy objects on paper can help smooth it out, how much force would you have to apply to a creased sheet of paper to make it completely "smooth" again?
8518	why does most trees have dark bark, but trees like birch have "white" bark? what's the benefit for the birch tree? does it effect the tree differently?
8519	is there any material that has a different melting and freezing point?
8520	why is it normal for children in practically all cultures to call parents "mother" or "father" rather than their real names?
8521	at what percentage abv do alcoholic beverages stop hydrating and start dehydrating?
8522	why do some animals lay brightly-colored eggs?
8523	is crying a learned response? for example, if every time a small child fell, and you laughed instead of coddled them, would they laugh every time they got hurt?
8524	how is it possible for every human to have different voices?
8525	do animals that hibernate appear to require less sleep the rest of the year? does hibernation slow aging in the animal? any other interesting tidbits about hibernation?
8526	why hasn't saudi arabia fallen into the earth?
8527	what happens to the deposit of tar and other chemicals in the lungs if a smoker stops smoking?
8528	why can't we remember the moment before we fall asleep?
8529	could solar sails be used on a satellite to constantly accelerate it so that it would be able to travel to a nearby star much faster than would normally be possible?
8530	if black is the best absorber of light and white is the worst/most reflective, why are mirrors silvery/grey?
8531	tobacco produces nicotine as a defence against insects. why do mushrooms produce psilocybin, defensively and against what, or just a random by-product?
8532	how does gravity affect fire? theoretically if we were to artificially increase or decrease gravity would it affect a flame?
8533	why do people die of starvation without using up all their bodies' fat reserves first?
8534	is there a biological basis for being a "night owl," or am i just horribly indisciplined?
8535	is gasoline entirely homonegous? if i buy venezuelan gas at citgo, is it any different than gas from oil from saudi arabia or texas? or does the refining process remove all differences?
8536	have whitening toothpastes improved measurably in recent years, or is it all hype?
8537	why do mosquitoes carry west nile and other viruses, but not hiv?
8538	what is the best way to play the lottery, scientifically?
8539	given how massive space is, with the milky way and andromeda galaxy on a course toward each other is it even likely there will be 'collisions' of objects?
8540	how can a random number generator really be random?
8541	what is more environmentally friendly to drink soda, a aluminum can or a plastic bottle?
8542	how common were dinosaurs?
8543	why is visible light limited to such a small fraction of the electromagnetic spectrum?
8544	if the universe is constantly "accelerating" away from us and is billions of years old, why has it not reach max speed (speed of light) and been stalled there?
8545	why do humans not have a "season" for mating, while the majority of animals do?
8546	since heavy atoms are created in stars when they explode and lead is higher up on the periodic table than gold, why is there so much more lead on earth?
8547	why do you see so many specialty toothpastes (e.g. gum strength, cavity defense, 3-d white etc)? why don't they make one super toothpaste with all the benefits?
8548	how do insects move?
8549	why is gold(79) rarer than lead(82)?
8550	when and why is variance sometimes used instead of standard deviation?
8551	are there seasons in the deep ocean?
8552	the fact that our sun and moon are so close in size as viewed from our planet that we get to see eclipses amazes me. how rare is this in the universe, is there any 'reason' for it, and does this fact affect earth?
8553	if someone never learns a language, can they still have thoughts?
8554	if you transplant organs in a young baby, will the organs grow along with the body?
8555	is there a freezing point where meat can be effectively sterilized from bacteria as it is when cooked?
8556	is there or has there ever been an important role in our body for hiccups?
8557	why is aids so much more rampant in the homosexual community? or is it?
8558	why, chemically speaking, do some antidepressants have "suicidal thoughts" as a side effect?
8559	is there a reason a greenscreen has to be green? can other colours be used?
8560	how does anti-venom work?
8561	how can i smell a piece of metal if it doesn't expulse any matter?
8562	if there was a planet with the same orbit and orbital period as the earth but on the opposite side of the sun would we ever detect it from earth?
8563	if hand sanitizer kills 99.99% of germs, then won't the surviving 0.01% make hand sanitizer resistant strains?
8564	where do squirrels go during hurricanes?
8565	how do insects survive winter?
8566	is the universe 13.8 billion years old, or is the observable universe 13.8 billion years old?
8567	the moon is spiraling away from earth at an average rate of 3.8 cm per year, so when it was formed it would have been much closer to earth. does it follow that tides would have been greater earlier in earth's history? if so how large?
8568	what happens if i'm driving a car at 99.9% the speed of light and turn on the car's front lights?
8569	considering that a mirror changes the direction of photons, is it actually "deformed" or even "used up" in the process?
8570	probiotics are "good" bacteria sold in pharmacies, to be taken alongside antibiotics to protect your intestinal microbiome. how are they manufactured? how can a powder contain live bacteria? how do they survive without food in a paper envelope for years?
8571	does the energy produced by a solar panel during its lifespan exceed that required for its production?
8572	we are carbon based life forms, however, is it possible for life to be based off another element?
8573	if the stars in the sky suddenly appeared exactly where they are actually located today (instead of appearing as they do now, where they were when light left them), which constellations would change the most? what other interesting changes would we see?
8574	before modern dental hygiene, did everyone have terrible breath all the time, or do our mouths stay pretty clean when not eating so many refined carbs?
8575	when did americans lose their british accents?
8576	since we measure nuclear warhead yields in terms of tonnes of tnt, would detonating an equivalent amount of tnt actually produce a similar explosion in terms of size, temperature, blast wave etc?
8577	have we observed objects orbiting around the sun in the 'wrong direction'?
8578	why can't photon have spin 0?
8579	the solar system's is ~16 galactic years old. during that whole time how close has it gotten to another star?
8580	what exactly happens when a computer "freezes"?
8581	if an object was heated up and placed in a perfect vacuum would it stay hot forever?
8582	how do low frequencies in the electromagnetic spectrum penetrate objects, but "visible" light can't?
8583	when one of the pins in a cpu becomes damaged, does it continue functioning normally at a lower rate? or does it completely cease functioning? why(not)?
8584	why do some green peppers grow tiny peppers inside them?
8585	what is the physical difference between a memory i have from yesterday and the memory of the dream i had last night?
8586	if the sun disappeared from one moment to another, would earth orbit the point where the sun used to be for another ~8 minutes?
8587	could sign language take root and persist in wild chimpanzees without continued human contact?
8588	do any animals have suicidal thoughts or tendencies?
8589	why do people get suicidal thoughts, can animals become suicidal?
8590	are irrational numbers irrational in all bases and number systems?
8591	would it be more fuel efficient and less dangerous to float a rocket into the upper atmosphere with balloons before igniting the boosters?
8592	can a bright light outside the visible spectrum hurt your eyes?
8593	why do you not lose your night vision when you use a red light?
8594	what's the point of linear algebra?
8595	in multi-star systems, what is the furthest known distance between two systems orbiting each other?
8596	why are our eyes able to quickly adjust to brightly lit environments but are much slower to adjust to dark environments?
8597	will spiders use already formed webs that they have found (whether the web is from the same species or not) or do spiders only use webs that they themselves have made?
8598	why is greenhouse gas one way?
8599	can a moon have a moon? what limits the "levels" of satellite that can exist in a stable solar system?
8600	do plants have stem cells?
8601	from what i understand, if a cup is full to the brim with water and ice cubes, once the ice melts there will be no spilling. if this is true, why does melting ice caps mean rising sea levels?
8602	do plastic water bottles leech toxins from the plastic into the water?
8603	does the sun make a noise?
8604	how were carnivorous plants able to evolve as they did?
8605	why does human hair (head) grow continuously as opposed to animals?
8606	the kepler space telescope is discovers planets when their orbit crosses the light of the star. doesn't this limit our discovery of planets to planets with short orbit periods?
8607	is building a "space elevator" even feasible?
8608	can metals be gas?
8609	if darker skin colors absorb more heat energy and have a higher resistance to cancer then why did humans who live in snowy/colder climates develop fare skin?
8610	what is happening to engine oil that requires it to be changed every 6000km (3000miles)?
8611	what is inside the sun? is it really just gas on fire or is there any tangible matter inside?
8612	why do whales die when they're beached too long? what is it that kills them?
8613	we always hear about stars dying. however, i never hear about stars being 'born'. are new stars being created as much as stars are dying out? if not, is the universe eventually going to run out of stars?
8614	does psychopathy exist on a spectrum or is it a binary phenomena; you either are or aren't?
8615	is psychopathy considered a binary diagnosis or is it seen as a spectrum?
8616	is there anything that doesn't get reflected in a mirror?
8617	helium is a product of nuclear fusion. could this fact solve the coming helium shortage once fusion reactors become viable?
8618	what exactly is happening (physio-chemically speaking) during a convulsive orgasm?
8619	what exactly is and what happens during an orgasm?
8620	would dinosaurs have been red or white meat?
8621	can we think without language?
8622	why are the galaxies in our universe distributed in clumps and filaments?
8623	is there a reason that the majority of earth's landmass is in the northern hemisphere?
8624	"greenhouse gas levels highest in 3 million years". okay… so why were greenhouse gases so high 3 million years ago?
8625	why do programs take up more memory the longer they run?
8626	how do asteroid belts stay a belt, wouldn't gravity pull tall the asteroids together?
8627	can a moon have a moon? can that moon have a moon?
8628	what would happen a very massive asteroid hit the sun?
8629	why do games aim for 60 fps but movies are only 24 fps?
8630	why are people suddenly having an issue with gluten?
8631	is it possible for animals to be allergic to humans?
8632	if jupiter is a gas giant, what sort of tangible surface does it have?
8633	if there are a finite number of atoms in the entire universe, that means there is still a finite number of permutations of atoms possible. can our very existence occur again then on a infinite time scale if we are just made out of a certain permutation atoms?
8634	my newborn son often cries inconsolably and without warning. how did early humans deal with this seeming invitation to danger?
8635	does using a higher grade gasoline give me better gas mileage?
8636	when your car windows fogs up on the inside during cold weather, is it better to use hot hair or cold air to clear it up?
8637	are there any long-term effects for people who have been in a prolonged coma as a child?
8638	why can't we just dump nuclear waste down a volcano?
8639	in the time before the dinosaurs, bugs grew to massive sizes. what about that period of time allowed them to become so large?
8640	why do dogs walk in a circle before they lay down?
8641	why is chlorine so effective in killing anything alive?
8642	what exactly is happening when a computer gets old and goes slow?
8643	how do spiders attach web strands so far away?
8644	if light is massless, how is a black hole able to prevent it from escaping?
8645	are all plants with thorns closely related? or are thorns an example of convergent evolution?
8646	do humans have a mating season?
8647	if a toddler is learning two languages at once, does he understand that they're different languages?
8648	is it possible for an irrational number to never have '1' as a digit?
8649	is it possible to terraform the moon, or would any attempt at an artificial atmosphere be drawn to earth via earth's gravity?
8650	why don't trees freeze and fracture? or do they?
8651	is there any real reason to change a toothbrush after you get over an illness? can you re-catch a cold you already fought off?
8652	do animals get/have mental disorders?
8653	why don't our eyes become paralyzed during rem sleep like the rest of our body does?
8654	why does the sound of cold water hitting steel sound different than hot water hitting steel?
8655	what happens to an eyelash when it disappears behind your eyeball?
8656	what's the difference between regular sleep and being passed out after drinking alcohol?
8657	is the sleep you get after being really drunk (i.e. passing out) the same as a regular night’s sleep?
8658	if we could theoretically break the speed of light, would we create a 'light boom' just as we have sonic booms with sound?
8659	does playing your music louder on your ipod or phone cause your battery to run out faster, or is battery life independent of volume level?
8660	how do fingerprints grow back?
8661	what would happen if we were to point the hubble space telescope at the earth?
8662	why do cats like catnip so much? what, chemically or biologically speaking, is happening to them?
8663	why does catnip have such an intoxicating effect on cats and do we know what they're experiencing?
8664	as the sun expands will mars eventually enter the habitable zone while earth leaves it?
8665	if life started 3.6 billion years ago and photosynthesis developed 3.4 billion years ago, where did the energy for life come from for the intervening 200 million years?
8666	the cosmic microwave background radiation is radiation that has been stretched out into the microwave band (it went from high frequency to low). does that mean it has lost energy just by traveling through expanding space?
8667	do electric cars use electrical energy from the battery more efficiently than gasoline/diesel cars use heat energy from their fuel?
8668	how were the number of atoms in a mole determined?
8669	i always hear that "a cure for cancer" is misleading, because cancer consists of a variety of different disorders, with no single cure. that being the case, are there any individual cancers that have been effectively "cured"?
8670	can spiders walk on the webs of other spider species?
8671	why do lcd screens change color when i apply pressure to the screen?
8672	if i wanted a sword made from materials that represent the pinnacle of modern materials science,what should it be constructed from?
8673	how much does at-home recycling actually help the environment? i have heard the actual benefit is pretty much nil, is this true?
8674	i burned my finger on a hot pan on my stove. what is the liquid that is inside the blister? if i don't pop the blister, where does that liquid go?
8675	how did vitamins get their names and numbers (a, b, c, d)?
8676	why do people say that burned/charred foods give you cancer? is there a scientific consensus on this? if so, how does it work?
8677	when someone has been knocked unconscious, what wakes them back up? in other words, what is the signal/condition that tells someone to regain consciousness?
8678	oil is a huge potential source of energy, so why haven't bacteria been eating it all?
